wavelength,transmission
4577.495,0.0
4582.495,1.702601e-05
4587.495,5.645982e-05
4592.495,7.667578000000001e-05
4597.495,7.3526762e-05
4602.495,6.984055600000001e-05
4607.495,7.144334799999999e-05
4612.495,6.680816e-05
4617.495,6.328021999999999e-05
4622.495,8.6342292e-05
4627.495,0.00012711692
4632.495,0.00014348678
4637.495,0.000137246586
4642.495,0.000153608928
4647.495,0.00019318158000000002
4652.495,0.00021181823999999997
4657.495,0.0002053607
4662.495,0.00021067160000000002
4667.495,0.0002437162
4672.495,0.00029766667999999997
4677.495,0.0003631853
4682.495,0.0004296475
4687.495,0.0004917629
4692.495,0.0005498331
4697.495,0.000608805
4702.495,0.00067802168
4707.495,0.0007666813599999999
4712.495,0.0008824696
4717.495,0.0010062384000000001
4722.495,0.0010937824800000002
4727.495,0.0011415064
4732.495,0.0011863764
4737.495,0.0012393699999999998
4742.495,0.0012840631999999999
4747.495,0.0013120921999999998
4752.495,0.0013243672
4757.495,0.001322286
4762.495,0.0013071515999999999
4767.495,0.0012762818
4772.495,0.0012236918599999999
4777.495,0.00115910724
4782.495,0.0011074012
4787.495,0.0010772302
4792.495,0.00106072314
4797.495,0.0010580165
4802.495,0.00107720248
4807.495,0.0011086582400000001
4812.495,0.0011256078
4817.495,0.001121905
4822.495,0.0011126610599999998
4827.495,0.00110998548
4832.495,0.0011217965199999999
4837.495,0.0011498929599999999
4842.495,0.00119042576
4847.495,0.00124619744
4852.495,0.00132596508
4857.495,0.0014164088
4862.495,0.0014836364
4867.495,0.001533935
4872.495,0.0016131017999999999
4877.495,0.0017309308000000002
4882.495,0.0018605695999999998
4887.495,0.0019999056
4892.495,0.0021720722000000002
4897.495,0.0023752518
4902.495,0.0025830894
4907.495,0.0028044370000000003
4912.495,0.0030828326
4917.495,0.0034272934
4922.495,0.0038118144
4927.495,0.0042339662
4932.495,0.0047163484
4937.495,0.0052799832
4942.495,0.005942684
4947.495,0.006711124
4952.495,0.0075819576
4957.495,0.0085810286
4962.495,0.009763009999999999
4967.495,0.011165303999999997
4972.495,0.01280764
4977.495,0.014729406
