sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan
8.594257911040847,0.23501276877992167,1328.800750305711,30.58542585139404,4462.641345711792,623.9381713867188,1.0015058930765952,ztf_20190718289282_001678_zr_c01_o.fits,37.0,ZTF_r,58682.289294,1,0,6.2,10.0,1.0,26.04743,2.2063e-06,0.023567,0.088377,4.5236e-06,-2.91e-06,26.099001,26.104226,0.03375,0.55,0.643,0.273365,1,0,1.846,20.69,1,2,1678,28.6411,-0.98191,1100.2031612447847,2883.08150993097,False
,,,0.0,-0.0,0.0,0.0,ztf_20180623264641_001679_zr_c04_o.fits,1.0,ZTF_r,58292.2646528,4,1,6.2,10.0,1.0,26.139177,1.6118e-06,0.02175,0.090456,3.4773e-06,-2.17e-06,26.190001,26.195569,0.032949,0.526,0.623,0.273623,2,13,1.717,21.08,1,2,1679,36.0922,0.781726,3016.95096924327,2969.4744523970926,True
41.94032568135807,1.1839668980000826,2018.4862892154802,158.05803467069796,6443.987366567288,623.591064453125,1.0009487390900882,ztf_20200531333981_000634_zr_c10_o.fits,1.0,ZTF_r,59000.3339931,10,3,6.4,9.5,1.0,27.704838,3.4265e-06,0.030672,0.099657,7.6408e-06,-4.69e-06,27.761999,27.765951,0.040739,0.516,0.613,0.269041,4,39,1.908,20.01,1,2,634,15.7601,0.636366,1918.9977831528984,793.4624068146338,False
11.644761346884248,0.3307888739453252,1562.0963297369722,45.61425111282394,4842.256862302228,623.83984375,1.0013480638041734,ztf_20190717185567_000634_zg_c10_o.fits,11.0,ZTF_g,58681.1856019,10,3,6.2,10.0,1.0,26.209646,4.5748e-06,0.03287,-0.027854,1.18457e-05,-6.78e-06,26.194,26.193692,0.033549,0.49,0.573,0.241107,4,39,1.866,20.43,1,1,634,13.1231,-0.999268,1897.1457809451258,798.1422959382237,False
5.9494001943253885,0.16399719620239403,1392.9131734088307,25.191060488421225,4002.7402727084423,623.8675537109375,1.0013925420721308,ztf_20190609294768_000634_zr_c10_o.fits,28.0,ZTF_r,58643.2948032,10,3,6.2,10.0,1.0,26.208417,1.6451e-06,0.021448,0.107491,3.6689e-06,-2.25e-06,26.267,26.274315,0.036033,0.516,0.613,0.269371,4,39,2.204,21.15,1,2,634,7.93189,0.392457,1901.9218946413137,774.433186639351,False
4.2663671432725945,0.12461995201744469,322.6900360878877,17.156455631552575,3586.980447537002,623.84423828125,1.0013551176264044,ztf_20200907165312_000634_zg_c10_o.fits,18.0,ZTF_g,59099.1653356,10,3,6.4,9.5,1.0,26.135133,3.2786e-06,0.030153,-0.05676,7.3238e-06,-4.49e-06,26.106001,26.100338,0.033775,0.518,0.613,0.26811,4,39,1.944,21.57,1,1,634,-9.98925,-0.791538,1896.5063592955294,959.6818511511922,False
8.857462563893474,0.11269904056257445,1454.374984473798,33.005749132063755,4500.269140142675,625.02197265625,1.00324554198435,ztf_20190718192662_000634_zg_c10_o.fits,27.0,ZTF_g,58682.1926852,10,3,6.2,10.0,1.0,26.205282,2.9131e-06,0.027837,-0.037408,6.8349e-06,-4.09e-06,26.184999,26.182875,0.029483,0.51,0.599,0.259628,4,39,1.654,20.94,1,1,634,7.86028,-0.984315,1902.2608140213194,800.8141388694693,False
4.96946703730042,0.13410968280440552,1697.8421875997842,19.207600702742244,3777.9246645474204,624.10302734375,1.001770509380016,ztf_20190704320972_000634_zr_c10_o.fits,24.0,ZTF_r,58668.3209722,10,3,6.2,10.0,1.0,26.215876,1.3145e-06,0.019078,0.097562,2.9484e-06,-1.8e-06,26.27,26.275552,0.032347,0.516,0.612,0.267744,4,39,1.855,21.57,1,2,634,-31.8503,0.0323129,1901.131339157328,801.9875330776439,False
8.074581706574651,0.22297715707719123,235.61765606248554,32.06783099146003,4384.459505570385,623.7637939453125,1.0012259934916734,ztf_20200914199271_000634_zr_c10_o.fits,25.0,ZTF_r,59106.1992708,10,3,6.4,9.5,1.0,25.704104,2.7814e-06,0.027528,0.117475,6.1722e-06,-3.8e-06,25.769501,25.776448,0.041747,0.523,0.616,0.26717,4,39,1.951,20.37,1,2,634,-35.6629,-0.142523,1888.1584829790781,1059.2770110277195,False
4.7909181833420815,0.13279801914055792,132.2636537122758,21.3664016936058,3732.1165916264563,625.0408935546875,1.0032759126078452,ztf_20200914184502_000634_zg_c10_o.fits,25.0,ZTF_g,59106.1845139,10,3,6.4,9.5,1.0,25.418074,7.2657e-06,0.040575,-0.027862,1.87504e-05,-1.079e-05,25.41,25.402048,0.041114,0.496,0.575,0.238007,4,39,2.327,20.52,1,1,634,-35.2205,-0.14372,1889.446865239377,1061.8692602483368,False
10.400009730956103,0.28614130258590065,1066.424670396692,36.32948426612945,4700.956864316877,623.851318359375,1.0013664821177768,ztf_20190803158762_000634_zr_c10_o.fits,23.0,ZTF_r,58698.1588773,10,3,6.2,10.0,1.0,25.642232,4.0565e-06,0.033519,0.098078,9.0499e-06,-5.55e-06,25.698,25.702377,0.042636,0.518,0.613,0.268658,4,39,1.655,20.24,1,2,634,5.79756,0.0611033,1907.9475530380141,813.1066128786505,False
7.322297029500314,0.2044385972667064,381.08782652237454,37.02949611144296,4262.267623265134,623.7890625,1.0012665529695024,ztf_20200914143322_000634_zi_c10_o.fits,23.0,ZTF_i,59106.143669,10,3,6.4,9.5,1.0,25.380598,2.5181e-06,0.03842,0.198168,2.02832e-05,-5.79e-06,25.429001,25.437185,0.056119,0.211,0.286,0.206419,4,39,2.822,19.65,1,3,634,-31.895,-0.146947,1900.513867115172,1083.8263178180523,False
8.187120009326955,0.225839565362846,1340.6870151466971,32.47125662594643,4402.024140912807,625.1480712890625,1.0034479474944824,ztf_20190613369537_000634_zg_c10_o.fits,57.0,ZTF_g,58647.3695602,10,3,6.2,10.0,1.0,26.216047,3.0898e-06,0.028877,-0.059329,7.1603e-06,-4.31e-06,26.184,26.180327,0.032816,0.511,0.602,0.262742,4,39,1.993,20.83,1,1,634,14.8767,0.825816,1895.3924791379336,820.0560404483647,False
10.065706887357495,0.27890177307802233,675.8894888270223,42.0841339587847,4660.099106063618,623.8271484375,1.0013276860955056,ztf_20200914159942_000634_zi_c10_o.fits,24.0,ZTF_i,59106.1599421,10,3,6.4,9.5,1.0,26.126486,9.135e-07,0.023262,0.198342,7.3509e-06,-2.1e-06,26.173,26.183135,0.047126,0.211,0.286,0.206637,4,39,2.165,20.32,1,3,634,-33.5727,-0.145609,1886.7523153549303,1071.4088497456,False
4.331640041171026,0.06856104842361328,1221.1199574850657,18.996985186518476,3605.914235398247,624.809326171875,1.0029042153641654,ztf_20190901149248_000634_zg_c10_o.fits,36.0,ZTF_g,58727.1492593,10,3,6.2,10.0,1.0,26.129339,2.2584e-06,0.025032,-0.025622,5.1168e-06,-3.11e-06,26.118,26.113754,0.025951,0.514,0.608,0.267216,4,39,2.254,21.4,1,1,634,-1.22573,0.0443534,1902.4975596176394,799.2112370215158,False
5.094942643710559,0.14592542567061487,1717.0879804780961,19.361151199659645,3809.007234963095,623.971435546875,1.0015592865920948,ztf_20190727191134_000634_zr_c10_o.fits,47.0,ZTF_r,58691.1911343,10,3,6.2,10.0,1.0,26.168809,1.3907e-06,0.019697,0.103764,3.0994e-06,-1.9e-06,26.225,26.232442,0.034201,0.518,0.613,0.269456,4,39,1.817,21.45,1,2,634,-38.097,-0.291187,1896.7435534133137,799.33921456114,False
5.821429258259126,0.16376990084005374,1650.4812504486306,19.59417736405738,3975.6502788369835,623.9713134765625,1.0015590906525882,ztf_20190730208727_000634_zr_c10_o.fits,2.0,ZTF_r,58694.2087269,10,3,6.2,10.0,1.0,26.122193,1.7251e-06,0.021783,0.09436,3.8623e-06,-2.36e-06,26.174999,26.179951,0.033396,0.515,0.612,0.268274,4,39,1.376,21.5,1,2,634,-33.199,-0.0527155,1900.6074672336324,792.7486917347916,False
9.062435537762724,0.26500607568190127,1317.7915892865456,34.07968244265627,4528.908326541543,623.9189453125,1.0014750326043338,ztf_20190613216366_000634_zg_c10_o.fits,47.0,ZTF_g,58647.2163773,10,3,6.2,10.0,1.0,26.169452,3.3645e-06,0.029482,-0.039325,8.06e-06,-4.78e-06,26.149,26.146108,0.031142,0.505,0.594,0.255037,4,39,1.796,20.72,1,1,634,47.5206,0.812713,1907.2723168131195,821.0656974408216,False
6.2686730429038064,0.17965367207334318,1499.0663756648717,23.590702452667433,4068.152977065307,623.9405517578125,1.0015097138969704,ztf_20190721168889_000634_zg_c10_o.fits,37.0,ZTF_g,58685.1688889,10,3,6.2,10.0,1.0,26.196893,2.3329e-06,0.02531,-0.056463,5.2673e-06,-3.21e-06,26.1675,26.162461,0.029447,0.515,0.61,0.266536,4,39,1.727,21.21,1,1,634,-19.2369,-0.840893,1904.5400110949597,815.0266952550434,False
7.116653702194074,0.19707711272870135,1638.396966755675,32.41916360541552,4226.728374377308,623.8846435546875,1.0014199736030296,ztf_20190710211123_000634_zr_c10_o.fits,29.0,ZTF_r,58674.2112037,10,3,6.2,10.0,1.0,26.207446,2.3135e-06,0.025236,0.111463,5.1467e-06,-3.16e-06,26.268999,26.275907,0.039177,0.518,0.614,0.268843,4,39,2.495,20.76,1,2,634,35.0941,0.586134,1909.8358104739757,810.2752020055351,False
12.262381775941046,0.3541493219333242,1476.432536954893,50.18106140392589,4906.923574485543,623.843017578125,1.0013531582313402,ztf_20190717190660_000634_zg_c10_o.fits,13.0,ZTF_g,58681.1906944,10,3,6.2,10.0,1.0,26.215995,4.6202e-06,0.032341,-0.032919,1.23484e-05,-6.97e-06,26.198,26.19741,0.033256,0.488,0.565,0.235441,4,39,1.976,20.32,1,1,634,14.2845,-0.999238,1898.33826788765,797.495176928273,False
