,band,telescope,obsmjd,mag,mag_err,alert
0,UVW1,Swift,58659.7886999999,18.72,0.08,True
1,U,Swift,58659.7906999998,18.31,0.09,True
2,B,Swift,58659.7916999999,18.15,0.12,True
3,UVW2,Swift,58659.792899999804,19.09,0.08,True
4,UVW2,Swift,58659.794600000096,19.08,0.08,True
5,V,Swift,58659.7974999999,17.86,0.19,True
6,UVM2,Swift,58659.8018,19.02,0.07,True
7,UVW1,Swift,58672.4528000001,18.88,0.09,True
8,U,Swift,58672.45379999981,18.44,0.09,True
9,B,Swift,58672.4542999999,18.31,0.12,True
10,UVW2,Swift,58672.45550000019,19.48,0.09,True
11,V,Swift,58672.4569999999,17.75,0.16,True
12,UVM2,Swift,58672.4589,19.28,0.07,True
13,UVW1,Swift,58678.267299999905,19.11,0.11,True
14,U,Swift,58678.2681,18.5,0.11,True
15,B,Swift,58678.2686000001,17.9,0.11,True
16,UVW2,Swift,58678.2697999999,19.48,0.1,True
17,V,Swift,58678.2710000002,17.8,0.19,True
18,UVM2,Swift,58678.272799999904,19.45,0.09,True
19,B,Swift,58688.41000000019,18.09,0.18,True
20,UVW2,Swift,58688.4114000001,19.26,0.12,True
21,V,Swift,58688.4128000001,17.94,0.28,True
22,UVM2,Swift,58688.414799999904,19.26,0.12,True
23,UVW1,Swift,58688.4748,19.61,0.15,True
24,U,Swift,58688.475699999806,19.21,0.18,True
25,UVW1,Swift,58693.68759999981,18.7,0.07,True
26,U,Swift,58693.6894,18.5,0.09,True
27,B,Swift,58693.6900999998,18.05,0.1,True
28,UVW2,Swift,58693.6913999999,19.3,0.07,True
29,V,Swift,58693.6941,17.76,0.15,True
30,UVM2,Swift,58693.6957,19.09,0.07,True
31,UVW1,Swift,58705.7481,18.73,0.1,True
32,U,Swift,58705.7497,18.38,0.11,True
33,B,Swift,58705.7505000001,17.98,0.12,True
34,UVW2,Swift,58705.7527999999,19.29,0.09,True
35,V,Swift,58705.7552,17.64,0.18,True
36,UVM2,Swift,58705.7587000001,19.14,0.08,True
37,UVW1,Swift,58712.4134,18.88,0.1,True
38,U,Swift,58712.41429999981,18.61,0.14,True
39,B,Swift,58712.414799999904,18.48,0.2,True
40,UVW2,Swift,58712.4164999998,19.37,0.09,True
41,V,Swift,58712.4177999999,17.89,0.2,True
42,UVM2,Swift,58712.419999999904,19.16,0.08,True
43,B,Swift,58659.79178099999,18.242603,0.11717013,True
44,B,Swift,58672.454372,18.29212,0.1131583,True
45,B,Swift,58678.268665999996,17.971829999999997,0.11200022,True
46,B,Swift,58683.763028999994,18.16819,0.18873303,True
47,B,Swift,58688.410061,18.263262,0.17922793,True
48,B,Swift,58693.690179,18.167279999999998,0.10298708,True
49,B,Swift,58705.750576,18.100149,0.12102044,True
50,B,Swift,58707.273271000005,18.104937,0.10719431,True
51,B,Swift,58712.414917999995,18.425857999999998,0.16117795,True
52,B,Swift,58719.556617999995,18.121798000000002,0.18195246,True
53,B,Swift,58724.335726,18.095732,0.1223539,True
54,B,Swift,58729.581161,18.315672,0.20068169,True
55,B,Swift,58734.432284,18.192970000000003,0.11346459,True
56,B,Swift,58750.42963200001,18.375969,0.12289985,True
57,UVM2,Swift,58659.801861,19.065607,0.08681594599999999,True
58,UVM2,Swift,58672.459023,19.343756,0.087666035,True
59,UVM2,Swift,58678.272927,19.535785999999998,0.10288633,True
60,UVM2,Swift,58683.76632,19.206392,0.15220675,True
61,UVM2,Swift,58688.414939999995,19.304686,0.12701605,True
62,UVM2,Swift,58693.695769000005,19.136242000000003,0.081027955,True
63,UVM2,Swift,58705.758760000004,19.18705,0.097072586,True
64,UVM2,Swift,58707.28413099999,19.236713,0.088830806,True
