,filter,instrument,mjd,magpsf,sigmamagpsf
0,r,P48+ZTF,58671.1915509,18.0690880305912,0.013596821025826999
1,i,P48+ZTF,59009.3165394,18.7494946816278,0.052637762204516
2,r,P48+ZTF,58694.208726900004,18.0781454398711,0.012873475155588999
3,r,P48+ZTF,58632.3015509,18.657524762577,0.024579249647471
4,r,P48+ZTF,58637.33469909999,18.519596430085898,0.015059379715235001
5,g,P48+ZTF,58675.3543056,18.3000168930721,0.016326547624598
6,g,P48+ZTF,58641.1954977,18.449110655494398,0.020005135466301005
7,i,P48+ZTF,58648.3070949,18.232062536877397,0.030550048390479
8,r,P48+ZTF,58700.1730556,18.0083035952341,0.010134910139413
9,i,P48+ZTF,58690.3285995,17.9654970740608,0.016258848440067
10,r,P48+ZTF,58638.310625,18.5292882457445,0.015371534110156
11,i,P48+ZTF,58703.16366900001,17.9051581850576,0.022341253792586002
12,g,P48+ZTF,58638.3525926,18.5861697648817,0.015148315223035
13,i,P48+ZTF,58710.232708300005,17.8401523757331,0.028532933888381004
14,g,P48+ZTF,58708.3500347,18.2224823520667,0.056678756289075
15,r,P48+ZTF,58660.247488400004,18.1332067091207,0.010745492806689001
16,r,P48+ZTF,58666.252963,18.1641771909523,0.012150525022614999
17,g,P48+ZTF,58734.1862153,18.517477597648,0.040550780908682
18,g,P48+ZTF,58666.2137153,18.278465614877998,0.010929676961226998
19,i,P48+ZTF,58644.2364699,18.3149134449757,0.028830961237357004
20,g,P48+ZTF,58696.2603819,18.2033732328152,0.011396215893350001
21,r,P48+ZTF,58618.336493099996,19.1442758005658,0.076425806181463
22,g,P48+ZTF,58666.21280090001,18.241319392991,0.011686799020631002
23,r,P48+ZTF,58628.3772454,18.7703770998475,0.024608688994931002
24,g,P48+ZTF,58711.1488079,18.1617855861007,0.023700161212735
25,g,P48+ZTF,58740.1215972,18.543692998545698,0.048514865103113
26,g,P48+ZTF,58758.1289468,18.733382347968604,0.028174802994617998
27,g,P48+ZTF,58684.21208330001,18.302018192730802,0.01438328699454
28,r,P48+ZTF,58608.4945255,20.489404249649898,0.133988117996359
29,r,P48+ZTF,58655.31682869999,18.3517285343462,0.034507590162507006
30,r,P48+ZTF,58606.3095255,20.5128237073623,0.14723807520931198
31,r,P48+ZTF,58651.35144680001,18.2887303087961,0.038627836340332
32,r,P48+ZTF,58646.246076400006,18.382566131979498,0.034132557534296
33,r,P48+ZTF,58650.29376159999,18.195347771635397,0.028689897580737003
34,r,P48+ZTF,58647.2551273,18.284912518232698,0.021626629259781996
35,g,P48+ZTF,58727.151076400005,18.346153005343698,0.013925340924489998
36,g,P48+ZTF,58781.11216440001,18.8522755927668,0.068362301389494
37,r,P48+ZTF,58682.28929400001,18.238851896003197,0.024945146420101
