,filter,instrument,mjd,magpsf,sigmamagpsf,alert
0,r,P48+ZTF,58671.1915509,18.0690880305912,0.013596821025827,False
1,i,P48+ZTF,59009.3165394,18.7494946816278,0.052637762204516,False
2,r,P48+ZTF,58694.2087269,18.0781454398711,0.012873475155589,False
3,r,P48+ZTF,58632.3015509,18.657524762577,0.024579249647471,False
4,r,P48+ZTF,58637.3346991,18.5195964300859,0.015059379715235,False
5,g,P48+ZTF,58675.3543056,18.3000168930721,0.016326547624598,False
6,g,P48+ZTF,58641.1954977,18.4491106554944,0.020005135466301,False
7,i,P48+ZTF,58648.3070949,18.2320625368774,0.030550048390479,False
8,r,P48+ZTF,58700.1730556,18.0083035952341,0.010134910139413,False
9,i,P48+ZTF,58690.3285995,17.9654970740608,0.016258848440067,False
10,r,P48+ZTF,58638.310625,18.5292882457445,0.015371534110156,False
11,i,P48+ZTF,58703.163669,17.9051581850576,0.022341253792586,False
12,g,P48+ZTF,58638.3525926,18.5861697648817,0.015148315223035,False
13,i,P48+ZTF,58710.2327083,17.8401523757331,0.028532933888381,False
14,g,P48+ZTF,58708.3500347,18.2224823520667,0.056678756289075,False
15,r,P48+ZTF,58660.2474884,18.1332067091207,0.010745492806689,False
16,r,P48+ZTF,58666.252963,18.1641771909523,0.012150525022615,False
17,g,P48+ZTF,58734.1862153,18.517477597648,0.040550780908682,False
18,g,P48+ZTF,58666.2137153,18.278465614878,0.010929676961227,False
19,i,P48+ZTF,58644.2364699,18.3149134449757,0.028830961237357,False
20,g,P48+ZTF,58696.2603819,18.2033732328152,0.01139621589335,False
21,r,P48+ZTF,58618.3364931,19.1442758005658,0.076425806181463,False
22,g,P48+ZTF,58666.2128009,18.241319392991,0.011686799020631,False
23,r,P48+ZTF,58628.3772454,18.7703770998475,0.024608688994931,False
24,g,P48+ZTF,58711.1488079,18.1617855861007,0.023700161212735,False
25,g,P48+ZTF,58740.1215972,18.5436929985457,0.048514865103113,False
26,g,P48+ZTF,58758.1289468,18.7333823479686,0.028174802994618,False
27,g,P48+ZTF,58684.2120833,18.3020181927308,0.01438328699454,False
28,r,P48+ZTF,58608.4945255,20.4894042496499,0.133988117996359,False
29,r,P48+ZTF,58655.3168287,18.3517285343462,0.034507590162507,False
30,r,P48+ZTF,58606.3095255,20.5128237073623,0.147238075209312,False
31,r,P48+ZTF,58651.3514468,18.2887303087961,0.038627836340332,False
32,r,P48+ZTF,58646.2460764,18.3825661319795,0.034132557534296,False
33,r,P48+ZTF,58650.2937616,18.1953477716354,0.028689897580737,False
34,r,P48+ZTF,58647.2551273,18.2849125182327,0.021626629259782,False
35,g,P48+ZTF,58727.1510764,18.3461530053437,0.01392534092449,False
36,g,P48+ZTF,58781.1121644,18.8522755927668,0.068362301389494,False
37,r,P48+ZTF,58682.289294,18.2388518960032,0.024945146420101,False
38,g,P48+ZTF,58654.2754745,18.3270098819939,0.029180529666001,False
39,r,P48+ZTF,58713.2361458,18.034517395547,0.039305365917203,False
40,g,P48+ZTF,58632.3375579,18.6331618740167,0.015597098186461,False
41,i,P48+ZTF,59028.3146412,18.8248379003263,0.040394455820226,False
42,r,P48+ZTF,58669.3165625,18.1287184883768,0.011736736202098,False
43,r,P48+ZTF,58781.0906713,18.6560954274839,0.074690513179051,False
