index,filter,magpsf,sigmamagpsf,instrument,mjd
0,g,21.31,0.34,P48+ZTF,58600.3936999999
1,r,20.73,0.3,P48+ZTF,58605.3793000001
2,r,20.42,0.27,P48+ZTF,58605.4004000002
3,r,20.6,0.22,P48+ZTF,58605.4013
4,r,20.72,0.37,P48+ZTF,58605.4197
5,g,20.5,0.28,P48+ZTF,58605.4841999998
6,r,20.42,0.24,P48+ZTF,58606.3095
7,r,20.25,0.17,P48+ZTF,58607.3783
8,r,20.25,0.17,P48+ZTF,58607.3783
9,g,20.3,0.18,P48+ZTF,58607.4166000001
10,g,20.28,0.19,P48+ZTF,58607.4358999999
11,g,20.19,0.18,P48+ZTF,58608.3174999999
12,r,20.07,0.25,P48+ZTF,58608.3406000002
13,r,20.02,0.22,P48+ZTF,58608.3577000001
14,r,20.05,0.22,P48+ZTF,58608.3591
15,r,20.25,0.28,P48+ZTF,58608.3794999998
16,g,20.23,0.23,P48+ZTF,58608.4021999999
17,g,20.15,0.2,P48+ZTF,58608.4031000002
18,g,20.15,0.2,P48+ZTF,58608.4031000002
19,r,19.78,0.13,P48+ZTF,58612.4210999999
20,r,19.89,0.18,P48+ZTF,58612.4219999998
21,r,19.89,0.18,P48+ZTF,58612.4219999998
22,r,19.88,0.15,P48+ZTF,58612.4616
23,i,19.36,0.15,P48+ZTF,58616.3191
24,r,19.46,0.12,P48+ZTF,58616.3771000002
25,r,19.43,0.13,P48+ZTF,58616.3966000001
26,r,19.43,0.13,P48+ZTF,58616.3966000001
27,g,19.44,0.11,P48+ZTF,58616.4556
28,g,19.44,0.11,P48+ZTF,58616.4556
29,g,19.44,0.12,P48+ZTF,58616.4564999999
30,g,19.45,0.12,P48+ZTF,58616.463
31,g,19.46,0.14,P48+ZTF,58616.4843000001
32,r,19.32,0.12,P48+ZTF,58617.3177999998
33,r,19.29,0.14,P48+ZTF,58617.3377999999
34,r,19.37,0.14,P48+ZTF,58617.3585999999
35,g,19.43,0.13,P48+ZTF,58617.4153999998
36,g,19.3,0.12,P48+ZTF,58617.4201000002
37,g,19.42,0.1,P48+ZTF,58617.4429000001
38,r,19.44,0.18,P48+ZTF,58618.2338999999
39,r,19.44,0.18,P48+ZTF,58618.2338999999
40,r,19.28,0.18,P48+ZTF,58618.3363999999
41,r,19.32,0.15,P48+ZTF,58618.3566000001
42,g,19.03,0.24,P48+ZTF,58618.4196000001
43,r,19.15,0.16,P48+ZTF,58619.3503000001
44,r,18.84,0.1,P48+ZTF,58627.3955999999
45,i,18.87,0.11,P48+ZTF,58627.4539000001
46,r,18.88,0.12,P48+ZTF,58628.3596000001
47,r,18.79,0.08,P48+ZTF,58628.3763000001
48,r,18.79,0.08,P48+ZTF,58628.3763000001
49,r,18.83,0.08,P48+ZTF,58628.3772
50,r,18.71,0.08,P48+ZTF,58632.2738999999
51,r,18.74,0.07,P48+ZTF,58632.3004999999
52,r,18.74,0.07,P48+ZTF,58632.3004999999
53,r,18.72,0.08,P48+ZTF,58632.3015000001
54,r,18.71,0.08,P48+ZTF,58632.3305000002
55,g,18.67,0.09,P48+ZTF,58632.3366
56,g,18.67,0.09,P48+ZTF,58632.3366
57,g,18.66,0.07,P48+ZTF,58632.3374999999
58,g,18.67,0.07,P48+ZTF,58632.4251000001
59,g,18.76,0.12,P48+ZTF,58632.4389
60,i,18.62,0.08,P48+ZTF,58633.2829999998
61,r,18.66,0.07,P48+ZTF,58633.3536
62,r,18.66,0.07,P48+ZTF,58634.3539999998
63,r,18.66,0.06,P48+ZTF,58635.2856000001
64,r,18.64,0.07,P48+ZTF,58635.2866000002
65,r,18.63,0.08,P48+ZTF,58635.3580999998
66,r,18.66,0.08,P48+ZTF,58635.3790000002
67,g,18.64,0.08,P48+ZTF,58635.4199999999
68,g,18.6,0.09,P48+ZTF,58635.4208999998
69,g,18.62,0.08,P48+ZTF,58635.4427999998
70,g,18.58,0.08,P48+ZTF,58635.4750999999
71,i,18.58,0.09,P48+ZTF,58636.2982999999
72,i,18.58,0.09,P48+ZTF,58636.2982999999
73,g,18.57,0.08,P48+ZTF,58637.2662999998
74,r,18.55,0.07,P48+ZTF,58637.3155999999
75,r,18.61,0.07,P48+ZTF,58637.3346000002
76,g,18.53,0.08,P48+ZTF,58637.4413000001
77,g,18.53,0.08,P48+ZTF,58637.4413000001
78,r,18.56,0.06,P48+ZTF,58638.2681
79,r,18.53,0.08,P48+ZTF,58638.2881999998
80,r,18.54,0.07,P48+ZTF,58638.2892
81,r,18.58,0.06,P48+ZTF,58638.3106
82,g,18.53,0.08,P48+ZTF,58638.3517
83,g,18.59,0.07,P48+ZTF,58638.3525
84,g,18.55,0.08,P48+ZTF,58638.3577999999
85,g,18.49,0.08,P48+ZTF,58639.2563999998
86,r,18.48,0.08,P48+ZTF,58639.2974999999
87,r,18.45,0.06,P48+ZTF,58639.3163999999
88,g,18.51,0.07,P48+ZTF,58639.4312999998
89,g,18.51,0.1,P48+ZTF,58639.4553999999
90,r,18.47,0.07,P48+ZTF,58640.2552999998
91,r,18.49,0.07,P48+ZTF,58640.2798000001
92,i,18.43,0.08,P48+ZTF,58640.298
93,g,18.49,0.06,P48+ZTF,58640.335
94,g,18.49,0.09,P48+ZTF,58640.3577000001
95,g,18.46,0.09,P48+ZTF,58641.1954000001
96,g,18.55,0.07,P48+ZTF,58641.2111999998
97,g,18.46,0.08,P48+ZTF,58641.2121000001
98,g,18.4,0.09,P48+ZTF,58641.2344
99,r,18.48,0.07,P48+ZTF,58641.2941999999
100,r,18.48,0.07,P48+ZTF,58641.3325999999
101,r,18.46,0.08,P48+ZTF,58641.3335000002
102,r,18.46,0.08,P48+ZTF,58642.2448999998
103,r,18.48,0.06,P48+ZTF,58642.2710000002
104,r,18.47,0.08,P48+ZTF,58642.2782999999
105,g,18.43,0.06,P48+ZTF,58642.3870999999
106,g,18.46,0.07,P48+ZTF,58642.4169000001
107,r,18.4,0.08,P48+ZTF,58643.2557000001
108,r,18.39,0.08,P48+ZTF,58643.2781000002
109,r,18.4,0.06,P48+ZTF,58643.2947
110,g,18.45,0.07,P48+ZTF,58643.3332000002
111,g,18.47,0.07,P48+ZTF,58643.3531999998
112,g,18.48,0.09,P48+ZTF,58643.4265999999
113,g,18.43,0.08,P48+ZTF,58644.2138999999
114,i,18.35,0.07,P48+ZTF,58644.2363999998
115,r,18.4,0.06,P48+ZTF,58644.2768000001
116,r,18.44,0.07,P48+ZTF,58644.2963999999
117,r,18.35,0.07,P48+ZTF,58644.2973000002
118,r,18.38,0.06,P48+ZTF,58644.3136999998
119,g,18.4,0.07,P48+ZTF,58644.3404000001
120,g,18.38,0.07,P48+ZTF,58644.3413
121,g,18.38,0.08,P48+ZTF,58645.2483999999
122,r,18.39,0.08,P48+ZTF,58645.3146000002
123,g,18.35,0.07,P48+ZTF,58645.4079
124,r,18.39,0.07,P48+ZTF,58646.2459999998
125,r,18.39,0.08,P48+ZTF,58646.2513000001
126,r,18.39,0.08,P48+ZTF,58646.2766999998
127,r,18.34,0.09,P48+ZTF,58646.3086000001
128,g,18.42,0.11,P48+ZTF,58646.3185000001
129,g,18.39,0.09,P48+ZTF,58647.2163
130,r,18.35,0.09,P48+ZTF,58647.2551000002
131,r,18.33,0.06,P48+ZTF,58647.2741
132,r,18.31,0.07,P48+ZTF,58647.2749999999
133,g,18.36,0.08,P48+ZTF,58647.3385000001
134,g,18.42,0.08,P48+ZTF,58647.3695
135,g,18.36,0.07,P48+ZTF,58647.3703999999
136,i,18.27,0.06,P48+ZTF,58648.307
137,g,18.38,0.11,P48+ZTF,58650.2133999998
138,r,18.31,0.08,P48+ZTF,58650.2936999998
139,r,18.29,0.1,P48+ZTF,58651.3514
140,i,18.24,0.08,P48+ZTF,58652.2563999998
141,r,18.3,0.08,P48+ZTF,58653.2252000002
142,r,18.28,0.07,P48+ZTF,58654.2122999998
143,g,18.34,0.08,P48+ZTF,58654.2754000002
144,g,18.31,0.09,P48+ZTF,58654.2979000001
145,r,18.28,0.07,P48+ZTF,58654.3429999999
146,r,18.29,0.07,P48+ZTF,58654.3506
147,r,18.33,0.08,P48+ZTF,58654.3585000001
148,r,18.27,0.07,P48+ZTF,58655.1927
149,r,18.3,0.08,P48+ZTF,58655.2105999999
150,g,18.37,0.1,P48+ZTF,58655.2727000001
151,r,18.35,0.07,P48+ZTF,58655.3168000001
152,g,18.31,0.07,P48+ZTF,58657.2154999999
153,g,18.3,0.09,P48+ZTF,58657.2349999999
154,g,18.31,0.08,P48+ZTF,58657.2373000002
155,r,18.27,0.08,P48+ZTF,58657.3428000002
156,r,18.21,0.09,P48+ZTF,58657.3437000001
157,r,18.26,0.08,P48+ZTF,58657.3823000002
158,g,18.3,0.06,P48+ZTF,58658.2168000001
159,i,18.18,0.09,P48+ZTF,58659.1798999999
160,UVW1,18.72,0.08,Swift,58659.7886999999
161,U,18.31,0.09,Swift,58659.7906999998
162,B,18.15,0.12,Swift,58659.7916999999
163,UVW2,19.09,0.08,Swift,58659.7928999998
164,UVW2,19.08,0.08,Swift,58659.7946000001
165,V,17.86,0.19,Swift,58659.7974999999
166,UVM2,19.02,0.07,Swift,58659.8018
167,g,18.28,0.08,P48+ZTF,58660.173
168,g,18.33,0.06,P48+ZTF,58660.2034
169,r,18.23,0.07,P48+ZTF,58660.2474000002
170,r,18.23,0.06,P48+ZTF,58661.3059999999
171,r,18.25,0.06,P48+ZTF,58661.3158999998
172,i,18.13,0.07,P48+ZTF,58663.1844000002
173,r,18.22,0.06,P48+ZTF,58663.3025000002
174,r,18.18,0.06,P48+ZTF,58663.3039000002
175,r,18.22,0.07,P48+ZTF,58663.3171999999
176,g,18.3,0.06,P48+ZTF,58665.2132000001
177,g,18.27,0.06,P48+ZTF,58666.2127
178,g,18.3,0.07,P48+ZTF,58666.2137000002
179,g,18.31,0.06,P48+ZTF,58666.2344999998
180,r,18.24,0.05,P48+ZTF,58666.2529000002
181,r,18.26,0.06,P48+ZTF,58666.2538000001
182,i,18.11,0.05,P48+ZTF,58667.1801999998
183,g,18.3,0.07,P48+ZTF,58667.3191
184,r,18.2,0.06,P48+ZTF,58668.3209000002
185,r,18.2,0.07,P48+ZTF,58669.3165000002
186,r,18.21,0.05,P48+ZTF,58669.3280000002
187,g,18.32,0.06,P48+ZTF,58670.2823000001
188,r,18.23,0.06,P48+ZTF,58670.3125
189,i,18.08,0.07,P48+ZTF,58671.1820999999
190,r,18.18,0.06,P48+ZTF,58671.1915000002
191,g,18.28,0.07,P48+ZTF,58671.2839000002
192,r,18.18,0.07,P48+ZTF,58672.2064999999
193,r,18.21,0.07,P48+ZTF,58672.2289999998
194,g,18.3,0.06,P48+ZTF,58672.3012000001
195,g,18.31,0.07,P48+ZTF,58672.3308999999
196,UVW1,18.88,0.09,Swift,58672.4528000001
197,U,18.44,0.09,Swift,58672.4537999998
198,B,18.31,0.12,Swift,58672.4542999999
199,UVW2,19.48,0.09,Swift,58672.4555000002
200,V,17.75,0.16,Swift,58672.4569999999
201,UVM2,19.28,0.07,Swift,58672.4589
202,g,18.31,0.07,P48+ZTF,58673.3099000002
203,g,18.29,0.07,P48+ZTF,58673.3193000001
204,g,18.29,0.07,P48+ZTF,58674.1918000002
205,r,18.22,0.07,P48+ZTF,58674.2111999998
206,r,18.18,0.06,P48+ZTF,58674.2283999999
207,g,18.3,0.07,P48+ZTF,58674.3544000001
208,i,18.03,0.06,P48+ZTF,58675.2184000001
209,r,18.19,0.05,P48+ZTF,58675.2327999999
210,r,18.22,0.07,P48+ZTF,58675.2451999998
211,g,18.25,0.07,P48+ZTF,58675.2971000001
212,g,18.32,0.08,P48+ZTF,58675.3100000001
213,g,18.31,0.07,P48+ZTF,58675.3542999998
214,r,18.25,0.07,P48+ZTF,58677.2360999999
215,r,18.23,0.06,P48+ZTF,58678.2132000001
216,r,18.21,0.07,P48+ZTF,58678.2300999998
217,UVW1,19.11,0.11,Swift,58678.2672999999
218,U,18.5,0.11,Swift,58678.2681
219,B,17.9,0.11,Swift,58678.2686000001
220,UVW2,19.48,0.1,Swift,58678.2697999999
221,V,17.8,0.19,Swift,58678.2710000002
222,UVM2,19.45,0.09,Swift,58678.2727999999
223,g,18.36,0.09,P48+ZTF,58678.2869000002
224,i,18.05,0.06,P48+ZTF,58679.2546000001
225,g,18.24,0.08,P48+ZTF,58681.1856
226,g,18.31,0.09,P48+ZTF,58681.1864999998
227,g,18.3,0.1,P48+ZTF,58681.1905999999
228,g,18.26,0.1,P48+ZTF,58681.2097999998
229,r,18.15,0.07,P48+ZTF,58681.2686000001
230,r,18.16,0.08,P48+ZTF,58681.2790000001
231,g,18.31,0.07,P48+ZTF,58682.1877000001
232,g,18.3,0.07,P48+ZTF,58682.1926000002
233,g,18.34,0.08,P48+ZTF,58682.2108999998
234,r,18.21,0.05,P48+ZTF,58682.2821999998
235,r,18.24,0.08,P48+ZTF,58682.2892
236,r,18.22,0.07,P48+ZTF,58684.1727999998
