wavelength,transmission
3914,0.000100298
3916,0.000125472
3918,0.000150646
3920,0.00017582
3922,0.00020582
3924,0.00023582
3926,0.00026582
3928,0.00029582
3930,0.00032582
3932,0.000292532
3934,0.000259244
3936,0.000225956
3938,0.000192668
3940,0.00015938
3942,0.00015779
3944,0.0001562
3946,0.00015461
3948,0.00015302
3950,0.00015143
3952,0.000133072
3954,0.000114714
3956,9.6356E-05
3958,7.7998E-05
3960,5.964E-05
3962,6.0214E-05
3964,6.0788E-05
3966,6.1362E-05
3968,6.1936E-05
3970,6.251E-05
3972,6.704E-05
3974,7.157E-05
3976,7.61E-05
3978,8.063E-05
3980,8.516E-05
3982,9.6204E-05
3984,0.000107248
3986,0.000118292
3988,0.000129336
3990,0.00014038
3992,0.000148344
3994,0.000156308
3996,0.000164272
3998,0.000172236
4000,0.0001802
4002,0.00018958
4004,0.00019896
4006,0.00020834
4008,0.00021772
4010,0.0002271
4012,0.00027755
4014,0.000328
4016,0.00037845
4018,0.0004289
4020,0.00047935
4022,0.000421868
4024,0.000364386
4026,0.000306904
4028,0.000249422
4030,0.00019194
4032,0.000169502
4034,0.000147064
4036,0.000124626
4038,0.000102188
4040,7.975E-05
4042,6.7346E-05
4044,5.4942E-05
4046,4.2538E-05
4048,3.0134E-05
4050,1.773E-05
4052,2.229E-05
4054,2.685E-05
4056,3.141E-05
4058,3.597E-05
4060,4.053E-05
4062,5.1482E-05
4064,6.2434E-05
4066,7.3386E-05
4068,8.4338E-05
4070,9.529E-05
4072,8.69E-05
4074,7.851E-05
4076,7.012E-05
4078,6.173E-05
4080,5.334E-05
4082,4.8572E-05
4084,4.3804E-05
4086,3.9036E-05
4088,3.4268E-05
4090,2.95E-05
4092,2.9168E-05
4094,2.8836E-05
4096,2.8504E-05
4098,2.8172E-05
4100,2.784E-05
4102,3.0304E-05
4104,3.2768E-05
4106,3.5232E-05
4108,3.7696E-05
4110,4.016E-05
4112,3.9918E-05
4114,3.9676E-05
4116,3.9434E-05
4118,3.9192E-05
4120,3.895E-05
4122,3.116E-05
4124,2.337E-05
4126,1.558E-05
4128,7.79E-06
4130,2.68882E-19
4132,1.8676E-05
4134,3.7352E-05
4136,5.6028E-05
4138,7.4704E-05
4140,9.338E-05
4142,7.7042E-05
4144,6.0704E-05
4146,4.4366E-05
4148,2.8028E-05
4150,1.169E-05
4152,2.2212E-05
4154,3.2734E-05
4156,4.3256E-05
4158,5.3778E-05
4160,6.43E-05
4162,5.418E-05
4164,4.406E-05
4166,3.394E-05
4168,2.382E-05
4170,1.37E-05
4172,1.1466E-05
4174,9.232E-06
4176,6.998E-06
4178,4.764E-06
4180,2.53E-06
4182,9.072E-06
4184,1.5614E-05
4186,2.2156E-05
4188,2.8698E-05
4190,3.524E-05
4192,3.2402E-05
4194,2.9564E-05
4196,2.6726E-05
4198,2.3888E-05
4200,2.105E-05
4202,2.811E-05
4204,3.517E-05
4206,4.223E-05
4208,4.929E-05
4210,5.635E-05
4212,4.5194E-05
4214,3.4038E-05
4216,2.2882E-05
4218,1.1726E-05
4220,5.7E-07
4222,4.472E-06
4224,8.374E-06
4226,1.2276E-05
4228,1.6178E-05
4230,2.008E-05
4232,1.77E-05
4234,1.532E-05
4236,1.294E-05
4238,1.056E-05
4240,8.18E-06
4242,2.0596E-05
4244,3.3012E-05
4246,4.5428E-05
4248,5.7844E-05
4250,7.026E-05
4252,5.7042E-05
4254,4.3824E-05
4256,3.0606E-05
4258,1.7388E-05
4260,4.17E-06
4262,4.862E-06
4264,5.554E-06
4266,6.246E-06
4268,6.938E-06
4270,7.63E-06
4272,1.1686E-05
4274,1.5742E-05
4276,1.9798E-05
4278,2.3854E-05
4280,2.791E-05
4282,2.6228E-05
4284,2.4546E-05
4286,2.2864E-05
4288,2.1182E-05
4290,1.95E-05
4292,2.161E-05
4294,2.372E-05
4296,2.583E-05
4298,2.794E-05
4300,3.005E-05
4302,3.6376E-05
4304,4.2702E-05
4306,4.9028E-05
4308,5.5354E-05
4310,6.168E-05
4312,6.7238E-05
4314,7.2796E-05
4316,7.8354E-05
4318,8.3912E-05
4320,8.947E-05
4322,7.9746E-05
4324,7.0022E-05
4326,6.0298E-05
4328,5.0574E-05
4330,4.085E-05
4332,3.7348E-05
4334,3.3846E-05
4336,3.0344E-05
4338,2.6842E-05
4340,2.334E-05
4342,1.9622E-05
4344,1.5904E-05
4346,1.2186E-05
4348,8.468E-06
4350,4.75E-06
4352,4.478E-06
4354,4.206E-06
4356,3.934E-06
4358,3.662E-06
4360,3.39E-06
4362,4.124E-06
4364,4.858E-06
4366,5.592E-06
4368,6.326E-06
4370,7.06E-06
4372,5.728E-06
4374,4.396E-06
4376,3.064E-06
4378,1.732E-06
4380,4E-07
4382,2.002E-06
4384,3.604E-06
4386,5.206E-06
4388,6.808E-06
4390,8.41E-06
4392,9.558E-06
4394,1.0706E-05
4396,1.1854E-05
4398,1.3002E-05
4400,1.415E-05
4402,1.3718E-05
4404,1.3286E-05
4406,1.2854E-05
4408,1.2422E-05
4410,1.199E-05
4412,1.6218E-05
4414,2.0446E-05
4416,2.4674E-05
4418,2.8902E-05
4420,3.313E-05
4422,3.16E-05
4424,3.007E-05
4426,2.854E-05
4428,2.701E-05
4430,2.548E-05
4432,3.2446E-05
4434,3.9412E-05
4436,4.6378E-05
4438,5.3344E-05
4440,6.031E-05
4442,4.89E-05
4444,3.749E-05
4446,2.608E-05
4448,1.467E-05
4450,3.26E-06
4452,8.596E-06
4454,1.3932E-05
4456,1.9268E-05
4458,2.4604E-05
4460,2.994E-05
4462,2.655E-05
4464,2.316E-05
4466,1.977E-05
4468,1.638E-05
4470,1.299E-05
4472,1.419E-05
4474,1.539E-05
4476,1.659E-05
4478,1.779E-05
4480,1.899E-05
4482,2.2262E-05
4484,2.5534E-05
4486,2.8806E-05
4488,3.2078E-05
4490,3.535E-05
4492,4.0054E-05
4494,4.4758E-05
4496,4.9462E-05
4498,5.4166E-05
4500,5.887E-05
4502,6.6444E-05
4504,7.4018E-05
4506,8.1592E-05
4508,8.9166E-05
4510,9.674E-05
4512,8.696E-05
4514,7.718E-05
4516,6.74E-05
4518,5.762E-05
4520,4.784E-05
4522,5.8874E-05
4524,6.9908E-05
4526,8.0942E-05
4528,9.1976E-05
4530,0.00010301
4532,9.4534E-05
4534,8.6058E-05
4536,7.7582E-05
4538,6.9106E-05
4540,6.063E-05
4542,5.9746E-05
4544,5.8862E-05
4546,5.7978E-05
4548,5.7094E-05
4550,5.621E-05
4552,6.3644E-05
4554,7.1078E-05
4556,7.8512E-05
4558,8.5946E-05
4560,9.338E-05
4562,9.2158E-05
4564,9.0936E-05
4566,8.9714E-05
4568,8.8492E-05
4570,8.727E-05
4572,7.4302E-05
4574,6.1334E-05
4576,4.8366E-05
4578,3.5398E-05
4580,2.243E-05
4582,2.5676E-05
4584,2.8922E-05
4586,3.2168E-05
4588,3.5414E-05
4590,3.866E-05
4592,3.6086E-05
4594,3.3512E-05
4596,3.0938E-05
4598,2.8364E-05
4600,2.579E-05
4602,3.2902E-05
4604,4.0014E-05
4606,4.7126E-05
4608,5.4238E-05
4610,6.135E-05
4612,5.0872E-05
4614,4.0394E-05
4616,2.9916E-05
4618,1.9438E-05
4620,8.96E-06
4622,1.138E-05
4624,1.38E-05
4626,1.622E-05
4628,1.864E-05
4630,2.106E-05
4632,2.2774E-05
4634,2.4488E-05
4636,2.6202E-05
4638,2.7916E-05
4640,2.963E-05
4642,3.0088E-05
4644,3.0546E-05
4646,3.1004E-05
4648,3.1462E-05
4650,3.192E-05
4652,5.8432E-05
4654,8.4944E-05
4656,0.000111456
4658,0.000137968
4660,0.00016448
4662,0.000183566
4664,0.000202652
4666,0.000221738
4668,0.000240824
4670,0.00025991
4672,0.000263938
4674,0.000267966
4676,0.000271994
4678,0.000276022
4680,0.00028005
4682,0.000247942
4684,0.000215834
4686,0.000183726
4688,0.000151618
4690,0.00011951
4692,0.000114318
4694,0.000109126
4696,0.000103934
4698,9.8742E-05
4700,9.355E-05
4702,8.471E-05
4704,7.587E-05
4706,6.703E-05
4708,5.819E-05
4710,4.935E-05
4712,4.2238E-05
4714,3.5126E-05
4716,2.8014E-05
4718,2.0902E-05
4720,1.379E-05
4722,1.533E-05
4724,1.687E-05
4726,1.841E-05
4728,1.995E-05
4730,2.149E-05
4732,2.14E-05
4734,2.131E-05
4736,2.122E-05
4738,2.113E-05
4740,2.104E-05
4742,2.6794E-05
4744,3.2548E-05
4746,3.8302E-05
4748,4.4056E-05
4750,4.981E-05
4752,4.305E-05
4754,3.629E-05
4756,2.953E-05
4758,2.277E-05
4760,1.601E-05
4762,1.59E-05
4764,1.579E-05
4766,1.568E-05
4768,1.557E-05
4770,1.546E-05
4772,2.1366E-05
4774,2.7272E-05
4776,3.3178E-05
4778,3.9084E-05
4780,4.499E-05
4782,4.6714E-05
4784,4.8438E-05
4786,5.0162E-05
4788,5.1886E-05
4790,5.361E-05
4792,7.4558E-05
4794,9.5506E-05
4796,0.000116454
4798,0.000137402
4800,0.00015835
4802,0.000146838
4804,0.000135326
4806,0.000123814
4808,0.000112302
4810,0.00010079
4812,8.4488E-05
4814,6.8186E-05
4816,5.1884E-05
4818,3.5582E-05
4820,1.928E-05
4822,1.9594E-05
4824,1.9908E-05
4826,2.0222E-05
4828,2.0536E-05
4830,2.085E-05
4832,1.7428E-05
4834,1.4006E-05
4836,1.0584E-05
4838,7.162E-06
4840,3.74E-06
4842,3.222E-06
4844,2.704E-06
4846,2.186E-06
4848,1.668E-06
4850,1.15E-06
4852,4.366E-06
4854,7.582E-06
4856,1.0798E-05
4858,1.4014E-05
4860,1.723E-05
4862,1.9208E-05
4864,2.1186E-05
4866,2.3164E-05
4868,2.5142E-05
4870,2.712E-05
4872,2.5988E-05
4874,2.4856E-05
4876,2.3724E-05
4878,2.2592E-05
4880,2.146E-05
4882,1.8392E-05
4884,1.5324E-05
4886,1.2256E-05
4888,9.188E-06
4890,6.12E-06
4892,6.408E-06
4894,6.696E-06
4896,6.984E-06
4898,7.272E-06
4900,7.56E-06
4902,9.506E-06
4904,1.1452E-05
4906,1.3398E-05
4908,1.5344E-05
4910,1.729E-05
4912,1.8944E-05
4914,2.0598E-05
4916,2.2252E-05
4918,2.3906E-05
4920,2.556E-05
4922,2.1616E-05
4924,1.7672E-05
4926,1.3728E-05
4928,9.784E-06
4930,5.84E-06
4932,6.532E-06
4934,7.224E-06
4936,7.916E-06
4938,8.608E-06
4940,9.3E-06
4942,1.0508E-05
4944,1.1716E-05
4946,1.2924E-05
4948,1.4132E-05
4950,1.534E-05
4952,1.8546E-05
4954,2.1752E-05
4956,2.4958E-05
4958,2.8164E-05
4960,3.137E-05
4962,2.8188E-05
4964,2.5006E-05
4966,2.1824E-05
4968,1.8642E-05
4970,1.546E-05
4972,1.9646E-05
4974,2.3832E-05
4976,2.8018E-05
4978,3.2204E-05
4980,3.639E-05
4982,3.4916E-05
4984,3.3442E-05
4986,3.1968E-05
4988,3.0494E-05
4990,2.902E-05
4992,2.5246E-05
4994,2.1472E-05
4996,1.7698E-05
4998,1.3924E-05
5000,1.015E-05
5002,1.6066E-05
5004,2.1982E-05
5006,2.7898E-05
5008,3.3814E-05
5010,3.973E-05
5012,3.3474E-05
5014,2.7218E-05
5016,2.0962E-05
5018,1.4706E-05
5020,8.45E-06
5022,1.073E-05
5024,1.301E-05
5026,1.529E-05
5028,1.757E-05
5030,1.985E-05
5032,1.9026E-05
5034,1.8202E-05
5036,1.7378E-05
5038,1.6554E-05
5040,1.573E-05
5042,1.2884E-05
5044,1.0038E-05
5046,7.192E-06
5048,4.346E-06
5050,1.5E-06
5052,8.184E-06
5054,1.4868E-05
5056,2.1552E-05
5058,2.8236E-05
5060,3.492E-05
5062,3.2684E-05
5064,3.0448E-05
5066,2.8212E-05
5068,2.5976E-05
5070,2.374E-05
5072,2.087E-05
5074,1.8E-05
5076,1.513E-05
5078,1.226E-05
5080,9.39E-06
5082,7.512E-06
5084,5.634E-06
5086,3.756E-06
5088,1.878E-06
5090,-1.40946E-19
5092,2.914E-06
5094,5.828E-06
5096,8.742E-06
5098,1.1656E-05
5100,1.457E-05
5102,1.3392E-05
5104,1.2214E-05
5106,1.1036E-05
5108,9.858E-06
5110,8.68E-06
5112,9.428E-06
5114,1.0176E-05
5116,1.0924E-05
5118,1.1672E-05
